set,instance,family,scale,seed,solver,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,fallback_ms,fallback_serialize_ms,fallback_solver_self_ms,fallback_overhead_ms,runtime_ms,structural_result,fallback_used,peak_rss_kb
accepted14,010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,1,lkk_none,3.1513,0.391417,1.45507,14.4496,0,0,0,0,0,0,35.672336,UNKNOWN,True,4776
accepted14,010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,2,lkk_cadical,4.55784,0.547029,2.14493,17.5849,0,0,443.337,0,443.337,0,519.918157,UNKNOWN,True,7192
accepted14,010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,2,lkk_kissat,3.50598,0.415367,1.58838,11.689,0,0,103.822,2.4354,80,26.2569,167.129028,UNKNOWN,True,4740
accepted14,010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,2,lkk_none,3.01833,0.394866,1.49653,11.605,0,0,0,0,0,0,34.464432,UNKNOWN,True,4736
accepted14,010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,3,lkk_cadical,3.84616,0.471562,1.84252,12.3974,0,0,434.838,0,434.838,0,468.792387,UNKNOWN,True,7284
accepted14,010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,3,lkk_kissat,2.92591,0.391633,1.46989,11.5846,0,0,108.303,2.18108,90,20.4845,166.797907,UNKNOWN,True,4936
accepted14,010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,3,lkk_none,2.73525,0.382346,1.43586,12.0899,0,0,0,0,0,0,34.117046,UNKNOWN,True,4936
accepted14,011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,1,lkk_cadical,8.01613,1.58529,2.98206,19.4558,0,0,2.44603,0,2.44603,0,66.707993,UNKNOWN,True,8592
accepted14,011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,1,lkk_kissat,7.63153,1.60405,3.30469,22.9448,0,0,30.0519,7.40375,0,7.40375,117.422145,UNKNOWN,True,7252
accepted14,011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,1,lkk_none,10.4466,2.1653,3.83221,22.1036,0,0,0,0,0,0,67.637632,UNKNOWN,True,6920
