set,instance,family,scale,variant,seed,solver,runtime_ms,status,timed_out,par2_ms,structural_result,fallback_used,fallback_engine,fallback_ms,fallback_serialize_ms,fallback_solver_self_ms,fallback_overhead_ms,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,conflicts,decisions,propagations,peak_rss_kb,raw_log
expanded,009_overlapping_hall_violation_scale11_phase4b.cnf,overlapping_hall_violation,11,phase4b,1,lkk_none,367.655783,UNKNOWN,False,10000.0,UNKNOWN,True,none,0,0,0,0,2.73696,0.334593,0.700044,329.166,0,0,-1,-1,-1,4884,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_009__009_overlapping_hall_violation_scale11_phase4b__lkk_none__seed1.log
expanded,009_overlapping_hall_violation_scale11_phase4b.cnf,overlapping_hall_violation,11,phase4b,1,cadical,5036.069442,TIMEOUT,True,10000.0,,,cadical,,,,,,,,,,,,,,1708,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_009__009_overlapping_hall_violation_scale11_phase4b__cadical__seed1.log
expanded,009_overlapping_hall_violation_scale11_phase4b.cnf,overlapping_hall_violation,11,phase4b,1,kissat,5037.266419,TIMEOUT,True,10000.0,,,kissat,,,,,,,,,,,,,,1660,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_009__009_overlapping_hall_violation_scale11_phase4b__kissat__seed1.log
expanded,009_overlapping_hall_violation_scale11_phase4b.cnf,overlapping_hall_violation,11,phase4b,1,lkk_cadical,5038.218041,TIMEOUT,True,10000.0,,,lkk_cadical,,,,,,,,,,,,,,1684,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_009__009_overlapping_hall_violation_scale11_phase4b__lkk_cadical__seed1.log
expanded,009_overlapping_hall_violation_scale11_phase4b.cnf,overlapping_hall_violation,11,phase4b,1,lkk_kissat,5037.820109,TIMEOUT,True,10000.0,,,lkk_kissat,,,,,,,,,,,,,,1596,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_009__009_overlapping_hall_violation_scale11_phase4b__lkk_kissat__seed1.log
expanded,010_capacity2_violation_scale3_phase4b.cnf,capacity2_violation,3,phase4b,1,cadical,66.928357,UNSATISFIABLE,False,66.928357,,,cadical,,,,,,,,,,,0,104,967,1928,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_010__010_capacity2_violation_scale3_phase4b__cadical__seed1.log
expanded,010_capacity2_violation_scale3_phase4b.cnf,capacity2_violation,3,phase4b,1,kissat,18.673021,UNSATISFIABLE,False,18.673021,,,kissat,,,,,,,,,,,75,79,1567,1592,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_010__010_capacity2_violation_scale3_phase4b__kissat__seed1.log
expanded,010_capacity2_violation_scale3_phase4b.cnf,capacity2_violation,3,phase4b,1,lkk_cadical,18.315191,UNSATISFIABLE,False,18.315191,UNSAT,False,cadical,0,0,0,0,1.75403,0.027918,0.06868,3.88466,0.009202,2.13381,-1,-1,-1,4032,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_010__010_capacity2_violation_scale3_phase4b__lkk_cadical__seed1.log
expanded,010_capacity2_violation_scale3_phase4b.cnf,capacity2_violation,3,phase4b,1,lkk_kissat,18.784088,UNSATISFIABLE,False,18.784088,UNSAT,False,kissat,0,0,0,0,1.39928,0.033142,0.061266,3.44648,0.011938,1.94601,-1,-1,-1,4212,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_010__010_capacity2_violation_scale3_phase4b__lkk_kissat__seed1.log
expanded,010_capacity2_violation_scale3_phase4b.cnf,capacity2_violation,3,phase4b,1,lkk_none,19.469682,UNSATISFIABLE,False,19.469682,UNSAT,False,none,0,0,0,0,1.78636,0.029279,0.064944,3.99237,0.008604,2.41609,-1,-1,-1,4000,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_010__010_capacity2_violation_scale3_phase4b__lkk_none__seed1.log
