configuration,instance,family,runtime_ms,status,structural_result,registry_status,family_checks
budget=300000,034_satisfiable_capacity_control_s18_n0.cnf,satisfiable_capacity_control,118.99972,SATISFIABLE,UNKNOWN,UNKNOWN,300001
budget=300000,035_satisfiable_capacity_control_s24_n0.cnf,satisfiable_capacity_control,118.445361,SATISFIABLE,UNKNOWN,UNKNOWN,300001
budget=500000,030_hidden_pigeonhole_s8_n100.cnf,hidden_pigeonhole,19.315088,UNSATISFIABLE,UNSAT,COMPLETE,12062
budget=500000,031_hidden_pigeonhole_s9_n0.cnf,hidden_pigeonhole,35.299695,UNSATISFIABLE,UNSAT,COMPLETE,22599
budget=500000,032_hidden_pigeonhole_s9_n100.cnf,hidden_pigeonhole,36.19118,UNSATISFIABLE,UNSAT,COMPLETE,22604
budget=500000,033_satisfiable_capacity_control_s10_n0.cnf,satisfiable_capacity_control,18.534017,SATISFIABLE,FEASIBLE,COMPLETE,40960
budget=500000,034_satisfiable_capacity_control_s18_n0.cnf,satisfiable_capacity_control,118.218428,SATISFIABLE,UNKNOWN,UNKNOWN,500001
budget=500000,035_satisfiable_capacity_control_s24_n0.cnf,satisfiable_capacity_control,172.336372,SATISFIABLE,UNKNOWN,UNKNOWN,500001
budget=1000000,030_hidden_pigeonhole_s8_n100.cnf,hidden_pigeonhole,20.801815,UNSATISFIABLE,UNSAT,COMPLETE,12062
budget=1000000,031_hidden_pigeonhole_s9_n0.cnf,hidden_pigeonhole,36.650251,UNSATISFIABLE,UNSAT,COMPLETE,22599
budget=1000000,032_hidden_pigeonhole_s9_n100.cnf,hidden_pigeonhole,35.424647,UNSATISFIABLE,UNSAT,COMPLETE,22604
budget=1000000,033_satisfiable_capacity_control_s10_n0.cnf,satisfiable_capacity_control,19.284642,SATISFIABLE,FEASIBLE,COMPLETE,40960
budget=1000000,034_satisfiable_capacity_control_s18_n0.cnf,satisfiable_capacity_control,168.440861,SATISFIABLE,FEASIBLE,COMPLETE,845496
budget=1000000,035_satisfiable_capacity_control_s24_n0.cnf,satisfiable_capacity_control,218.469114,SATISFIABLE,UNKNOWN,UNKNOWN,1000001
budget=200000,036_satisfiable_capacity_control_s26_n0.cnf,satisfiable_capacity_control,118.418495,SATISFIABLE,UNKNOWN,UNKNOWN,200001
budget=200000,037_random_3sat_s120_n0.cnf,random_3sat,35.299084,UNSATISFIABLE,UNKNOWN,UNKNOWN,9
budget=200000,038_random_3sat_s300_n0.cnf,random_3sat,5039.531137,ERROR,UNKNOWN,,
budget=200000,039_random_3sat_s600_n0.cnf,random_3sat,5040.089777,ERROR,UNKNOWN,,
budget=300000,036_satisfiable_capacity_control_s26_n0.cnf,satisfiable_capacity_control,117.213807,SATISFIABLE,UNKNOWN,UNKNOWN,300001
budget=300000,037_random_3sat_s120_n0.cnf,random_3sat,35.300985,UNSATISFIABLE,UNKNOWN,UNKNOWN,9
budget=300000,038_random_3sat_s300_n0.cnf,random_3sat,5040.85816,ERROR,UNKNOWN,,
budget=300000,039_random_3sat_s600_n0.cnf,random_3sat,5040.019523,ERROR,UNKNOWN,,
budget=500000,036_satisfiable_capacity_control_s26_n0.cnf,satisfiable_capacity_control,167.97487,SATISFIABLE,UNKNOWN,UNKNOWN,500001
budget=500000,037_random_3sat_s120_n0.cnf,random_3sat,35.540323,UNSATISFIABLE,UNKNOWN,UNKNOWN,9
budget=500000,038_random_3sat_s300_n0.cnf,random_3sat,5039.641892,ERROR,UNKNOWN,,
budget=500000,039_random_3sat_s600_n0.cnf,random_3sat,5040.284929,ERROR,UNKNOWN,,
budget=1000000,036_satisfiable_capacity_control_s26_n0.cnf,satisfiable_capacity_control,217.911616,SATISFIABLE,UNKNOWN,UNKNOWN,1000001
budget=1000000,037_random_3sat_s120_n0.cnf,random_3sat,35.843556,UNSATISFIABLE,UNKNOWN,UNKNOWN,9
budget=1000000,038_random_3sat_s300_n0.cnf,random_3sat,5039.580667,ERROR,UNKNOWN,,
budget=1000000,039_random_3sat_s600_n0.cnf,random_3sat,5038.289766,ERROR,UNKNOWN,,
