instance,family,scale,variant,variables,clauses,cnf_sha256,solver,runtime_ms,status,timed_out,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,fallback_ms,structural_result,fallback_used,peak_rss_kb,witness_check_ms
013_overlapping_hall_violation_scale8_phase4a_sweep.cnf,overlapping_hall_violation,8,phase4a_sweep,144,1097,7f4e2393a53ceb368001fc2ca3839d962714822710d22b1118d59e0e74cfe6f1,kissat,116.946351,UNSATISFIABLE,False,,,,,,,,,2456,
014_overlapping_hall_violation_scale9_phase4a_sweep.cnf,overlapping_hall_violation,9,phase4a_sweep,180,1549,402c03482522eaa4691e1332f0fdebc54b6ef327b9219efbadef1c22dc7ae7be,native_lkk,4031.478956,UNSATISFIABLE,False,1.84406,0.202061,0.399817,378.578,0,3640.05,UNKNOWN,True,10072,0.0
014_overlapping_hall_violation_scale9_phase4a_sweep.cnf,overlapping_hall_violation,9,phase4a_sweep,180,1549,402c03482522eaa4691e1332f0fdebc54b6ef327b9219efbadef1c22dc7ae7be,cadical,3830.64095,UNSATISFIABLE,False,,,,,,,,,6996,
014_overlapping_hall_violation_scale9_phase4a_sweep.cnf,overlapping_hall_violation,9,phase4a_sweep,180,1549,402c03482522eaa4691e1332f0fdebc54b6ef327b9219efbadef1c22dc7ae7be,kissat,367.330013,UNSATISFIABLE,False,,,,,,,,,3268,
015_overlapping_hall_violation_scale10_phase4a_sweep.cnf,overlapping_hall_violation,10,phase4a_sweep,220,2111,808622947779983608021ea1d42610c12cfdee5d6ae7201c951a5a428e4e9d57,native_lkk,5035.59423,TIMEOUT,True,,,,,,,,,1688,0.0
015_overlapping_hall_violation_scale10_phase4a_sweep.cnf,overlapping_hall_violation,10,phase4a_sweep,220,2111,808622947779983608021ea1d42610c12cfdee5d6ae7201c951a5a428e4e9d57,cadical,5032.781797,TIMEOUT,True,,,,,,,,,1684,
015_overlapping_hall_violation_scale10_phase4a_sweep.cnf,overlapping_hall_violation,10,phase4a_sweep,220,2111,808622947779983608021ea1d42610c12cfdee5d6ae7201c951a5a428e4e9d57,kissat,1822.436956,UNSATISFIABLE,False,,,,,,,,,5836,
016_random_3sat_scale150_planted_sat.cnf,random_3sat,150,planted_sat,150,639,aff26fa010fab96821e59793d2139d43549bf54962864f9cebe4010ebd195bd7,native_lkk,34.512897,SATISFIABLE,False,1.46809,0.136051,0.227157,0.546248,0,14.3747,UNKNOWN,True,5876,0.0
016_random_3sat_scale150_planted_sat.cnf,random_3sat,150,planted_sat,150,639,aff26fa010fab96821e59793d2139d43549bf54962864f9cebe4010ebd195bd7,cadical,67.312375,SATISFIABLE,False,,,,,,,,,2560,
016_random_3sat_scale150_planted_sat.cnf,random_3sat,150,planted_sat,150,639,aff26fa010fab96821e59793d2139d43549bf54962864f9cebe4010ebd195bd7,kissat,117.527048,SATISFIABLE,False,,,,,,,,,1860,
017_random_3sat_scale400_planted_sat.cnf,random_3sat,400,planted_sat,400,1704,e962a07052b8bd4ba321d6aad84b64b89b4480bc667d92e78ea985fa47de6b31,native_lkk,820.735721,SATISFIABLE,False,3.11993,0.450963,0.686355,4.22897,0,752.262,UNKNOWN,True,8456,0.0
017_random_3sat_scale400_planted_sat.cnf,random_3sat,400,planted_sat,400,1704,e962a07052b8bd4ba321d6aad84b64b89b4480bc667d92e78ea985fa47de6b31,cadical,820.857498,SATISFIABLE,False,,,,,,,,,5204,
017_random_3sat_scale400_planted_sat.cnf,random_3sat,400,planted_sat,400,1704,e962a07052b8bd4ba321d6aad84b64b89b4480bc667d92e78ea985fa47de6b31,kissat,117.185226,SATISFIABLE,False,,,,,,,,,2104,
018_random_3sat_scale800_planted_sat.cnf,random_3sat,800,planted_sat,800,3408,82bb800eae27ad9a25817e1e6c9472c03088fdceaf860c310ce8842e989b84e1,native_lkk,1021.381705,SATISFIABLE,False,3.90392,0.837251,1.44646,17.0183,0,948.693,UNKNOWN,True,10480,0.0
018_random_3sat_scale800_planted_sat.cnf,random_3sat,800,planted_sat,800,3408,82bb800eae27ad9a25817e1e6c9472c03088fdceaf860c310ce8842e989b84e1,cadical,1122.396651,SATISFIABLE,False,,,,,,,,,6396,
018_random_3sat_scale800_planted_sat.cnf,random_3sat,800,planted_sat,800,3408,82bb800eae27ad9a25817e1e6c9472c03088fdceaf860c310ce8842e989b84e1,kissat,167.848383,SATISFIABLE,False,,,,,,,,,2516,
