instance,family,scale,variant,seed,solver,runtime_ms,status,par2_ms,timed_out,structural_result,fallback_used,registry_ms,family_checks,recovery_ms,flow_ms,fallback_ms,total_end_to_end_ms,peak_rss_kb
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,2,lkk_4a_sealed,771.069768,UNSATISFIABLE,771.069768,False,UNKNOWN,True,366.514,200001,0.349577,0,362.763,733.555,6448
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,2,lkk_4c_indexed,35.907333,UNSATISFIABLE,35.907333,False,UNSAT,False,6.10853,35405,0.353481,0.074367,0,10.3959,4664
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,2,cadical,520.3099,UNSATISFIABLE,520.3099,False,,,,,,,,520.3099,3272
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,2,kissat,220.482337,UNSATISFIABLE,220.482337,False,,,,,,,,220.482337,1924
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,3,lkk_4c_indexed,36.822575,UNSATISFIABLE,36.822575,False,UNSAT,False,6.01384,35405,0.343831,0.074012,0,10.8371,4540
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,3,cadical,470.151078,UNSATISFIABLE,470.151078,False,,,,,,,,470.151078,3568
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,3,kissat,117.646068,UNSATISFIABLE,117.646068,False,,,,,,,,117.646068,1976
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,3,lkk_4a_sealed,770.788747,UNSATISFIABLE,770.788747,False,UNKNOWN,True,338.942,200001,0.359353,0,378.204,721.741,6616
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,1,lkk_4a_sealed,4335.477688,UNSATISFIABLE,4335.477688,False,UNKNOWN,True,413.693,200001,0.484352,0,3862.57,4281.77,10028
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,1,lkk_4c_indexed,35.244614,UNSATISFIABLE,35.244614,False,UNSAT,False,10.0181,63154,0.443511,0.095835,0,15.2821,4904
