instance,family,scale,variant,seed,solver,runtime_ms,status,par2_ms,timed_out,structural_result,fallback_used,registry_ms,family_checks,recovery_ms,flow_ms,fallback_ms,total_end_to_end_ms,peak_rss_kb
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,1,lkk_4c_indexed,18.436612,UNSATISFIABLE,18.436612,False,UNSAT,False,6.63387,22599,0.956908,0.014487,0,10.649,4692
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,1,cadical,418.647326,UNSATISFIABLE,418.647326,False,,,,,,,,418.647326,3508
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,2,lkk_4a_sealed,67.673864,UNSATISFIABLE,67.673864,False,UNSAT,False,38.7002,117666,1.37551,0.018639,0,45.3175,4648
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,2,lkk_4c_indexed,35.423351,UNSATISFIABLE,35.423351,False,UNSAT,False,8.52195,22599,1.19047,0.018899,0,14.0944,4736
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,2,cadical,569.565521,UNSATISFIABLE,569.565521,False,,,,,,,,569.565521,3384
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,2,kissat,168.447566,UNSATISFIABLE,168.447566,False,,,,,,,,168.447566,2468
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,3,lkk_4c_indexed,35.081257,UNSATISFIABLE,35.081257,False,UNSAT,False,8.16375,22599,1.12895,0.019666,0,13.6316,4884
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,3,cadical,470.214593,UNSATISFIABLE,470.214593,False,,,,,,,,470.214593,3508
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,3,kissat,117.910629,UNSATISFIABLE,117.910629,False,,,,,,,,117.910629,2468
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,3,lkk_4a_sealed,68.293847,UNSATISFIABLE,68.293847,False,UNSAT,False,37.5215,117666,1.21407,0.01905,0,43.4187,4580
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,1,lkk_4a_sealed,519.87223,UNSATISFIABLE,519.87223,False,UNKNOWN,True,14.3267,200001,1.78821,0,458.899,480.63,7376
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,1,lkk_4c_indexed,35.697336,UNSATISFIABLE,35.697336,False,UNSAT,False,8.26568,22599,1.74669,0.019422,0,15.8404,4928
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,1,cadical,569.610713,UNSATISFIABLE,569.610713,False,,,,,,,,569.610713,3896
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,1,kissat,169.083812,UNSATISFIABLE,169.083812,False,,,,,,,,169.083812,2544
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,2,lkk_4c_indexed,37.222806,UNSATISFIABLE,37.222806,False,UNSAT,False,9.84555,22599,2.32593,0.02221,0,19.1032,4812
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,2,cadical,620.614931,UNSATISFIABLE,620.614931,False,,,,,,,,620.614931,3944
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,2,kissat,169.864284,UNSATISFIABLE,169.864284,False,,,,,,,,169.864284,2540
