instance,stratum,domain,mode,measured_at_timeout_s,runtime_ms,status,timed_out
1-TC-256-K-71.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60006.250004,TIMEOUT,True
1-TC-256-K-71.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60045.756191,TIMEOUT,True
uuf250-033.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.584467,UNKNOWN,False
uuf250-033.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.883274,UNKNOWN,False
pcmax-scheduling-m26-6398-62377-UNSAT.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60044.452769,TIMEOUT,True
pcmax-scheduling-m26-6398-62377-UNSAT.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60043.161796,TIMEOUT,True
uf200-037.cnf,resource_allocation_like,random_control,A_cadical,60.0,18.282103,UNKNOWN,False
uf200-037.cnf,resource_allocation_like,random_control,B_kissat,60.0,18.167712,UNKNOWN,False
REGRandom-K3-L3-Seed25.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60051.476577,TIMEOUT,True
REGRandom-K3-L3-Seed25.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,1170.610931,UNSATISFIABLE,False
flat75-93.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.646302,SATISFIABLE,False
flat75-93.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,34.02059,SATISFIABLE,False
Break_triple_20_36.xml.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60056.383205,TIMEOUT,True
Break_triple_20_36.xml.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60005.904997,TIMEOUT,True
jnh310.cnf,resource_allocation_like,crafted_structured,A_cadical,60.0,66.74123,UNSATISFIABLE,False
jnh310.cnf,resource_allocation_like,crafted_structured,B_kissat,60.0,17.805681,UNSATISFIABLE,False
mp1-klieber2017s-0500-023-t12.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60054.925068,TIMEOUT,True
mp1-klieber2017s-0500-023-t12.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,54170.912729,SATISFIABLE,False
