instance,stratum,mode,runtime_ms,status
Timetable_C_392_E_62_Cl_26_S_28.cnf,no_useful_detected_structure,D_lkk_kissat,30197.942466,SATISFIABLE
uf200-05.cnf,resource_allocation_like,C_lkk_cadical,267.63578,SATISFIABLE
uf200-05.cnf,resource_allocation_like,D_lkk_kissat,116.334363,SATISFIABLE
1-TC-256-K-71.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,45209.790098,UNSATISFIABLE
1-TC-256-K-71.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,60032.061482,TIMEOUT
uuf250-033.cnf,resource_allocation_like,C_lkk_cadical,7251.523776,UNSATISFIABLE
uuf250-033.cnf,resource_allocation_like,D_lkk_kissat,6849.006704,UNSATISFIABLE
pcmax-scheduling-m26-6398-62377-UNSAT.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,60026.055248,TIMEOUT
pcmax-scheduling-m26-6398-62377-UNSAT.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,53597.807789,UNSATISFIABLE
uf200-037.cnf,resource_allocation_like,C_lkk_cadical,317.067071,SATISFIABLE
uf200-037.cnf,resource_allocation_like,D_lkk_kissat,316.850993,SATISFIABLE
REGRandom-K3-L3-Seed25.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,60053.297959,TIMEOUT
REGRandom-K3-L3-Seed25.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,4381.113429,UNSATISFIABLE
flat75-93.cnf,resource_allocation_like,C_lkk_cadical,33.991186,SATISFIABLE
flat75-93.cnf,resource_allocation_like,D_lkk_kissat,66.609295,SATISFIABLE
Break_triple_20_36.xml.cnf,no_useful_detected_structure,C_lkk_cadical,60007.542865,TIMEOUT
Break_triple_20_36.xml.cnf,no_useful_detected_structure,D_lkk_kissat,60054.842235,TIMEOUT
jnh310.cnf,resource_allocation_like,C_lkk_cadical,34.342849,UNSATISFIABLE
jnh310.cnf,resource_allocation_like,D_lkk_kissat,66.54266,UNSATISFIABLE
mp1-klieber2017s-0500-023-t12.cnf,no_useful_detected_structure,C_lkk_cadical,60008.072176,TIMEOUT
mp1-klieber2017s-0500-023-t12.cnf,no_useful_detected_structure,D_lkk_kissat,60014.149637,TIMEOUT
aim-200-3_4-yes1-1.cnf,resource_allocation_like,C_lkk_cadical,34.34442,SATISFIABLE
aim-200-3_4-yes1-1.cnf,resource_allocation_like,D_lkk_kissat,66.801004,SATISFIABLE
g2-ak128boothbg2msisc.cnf,no_useful_detected_structure,C_lkk_cadical,3530.917026,SATISFIABLE
g2-ak128boothbg2msisc.cnf,no_useful_detected_structure,D_lkk_kissat,3982.449532,SATISFIABLE
uf250-016.cnf,resource_allocation_like,C_lkk_cadical,319.320927,SATISFIABLE
uf250-016.cnf,resource_allocation_like,D_lkk_kissat,167.623747,SATISFIABLE
af-synthesis_stb_50_40_9_sat.cnf,no_useful_detected_structure,C_lkk_cadical,60026.732551,TIMEOUT
af-synthesis_stb_50_40_9_sat.cnf,no_useful_detected_structure,D_lkk_kissat,60010.490075,TIMEOUT
uf200-050.cnf,resource_allocation_like,C_lkk_cadical,418.287087,SATISFIABLE
uf200-050.cnf,resource_allocation_like,D_lkk_kissat,166.941139,SATISFIABLE
asconhashv12_opt64_H9_M2-MIC4kfhiA_m0_6_U2.c.cnf,no_useful_detected_structure,C_lkk_cadical,60027.709125,TIMEOUT
asconhashv12_opt64_H9_M2-MIC4kfhiA_m0_6_U2.c.cnf,no_useful_detected_structure,D_lkk_kissat,60019.071896,TIMEOUT
ssa7552-159.cnf,resource_allocation_like,C_lkk_cadical,34.624278,SATISFIABLE
ssa7552-159.cnf,resource_allocation_like,D_lkk_kissat,66.882062,SATISFIABLE
atco_enc1_opt1_10_15.cnf,no_useful_detected_structure,C_lkk_cadical,60014.909342,TIMEOUT
atco_enc1_opt1_10_15.cnf,no_useful_detected_structure,D_lkk_kissat,60057.476111,TIMEOUT
uf200-077.cnf,resource_allocation_like,C_lkk_cadical,67.126037,SATISFIABLE
uf200-077.cnf,resource_allocation_like,D_lkk_kissat,116.990824,SATISFIABLE
hcp_CP18_18.cnf,no_useful_detected_structure,C_lkk_cadical,60020.220818,TIMEOUT
hcp_CP18_18.cnf,no_useful_detected_structure,D_lkk_kissat,60009.324352,TIMEOUT
uf200-035.cnf,resource_allocation_like,C_lkk_cadical,266.958456,SATISFIABLE
uf200-035.cnf,resource_allocation_like,D_lkk_kissat,367.306652,SATISFIABLE
EDP3-11000.cnf,no_useful_detected_structure,C_lkk_cadical,60024.373427,TIMEOUT
EDP3-11000.cnf,no_useful_detected_structure,D_lkk_kissat,39395.785577,SATISFIABLE
flat200-74.cnf,resource_allocation_like,C_lkk_cadical,217.47124,SATISFIABLE
flat200-74.cnf,resource_allocation_like,D_lkk_kissat,116.506872,SATISFIABLE
j3037_1_gmto_b.cnf,no_useful_detected_structure,C_lkk_cadical,60053.552189,TIMEOUT
j3037_1_gmto_b.cnf,no_useful_detected_structure,D_lkk_kissat,26018.25661,SATISFIABLE
flat75-12.cnf,resource_allocation_like,C_lkk_cadical,34.291703,SATISFIABLE
flat75-12.cnf,resource_allocation_like,D_lkk_kissat,66.978362,SATISFIABLE
af-synthesis_stb_50_140_0_unsat.cnf,no_useful_detected_structure,C_lkk_cadical,60014.880914,TIMEOUT
af-synthesis_stb_50_140_0_unsat.cnf,no_useful_detected_structure,D_lkk_kissat,60049.157037,TIMEOUT
