instance,mode,seed,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,fallback_ms,fallback_serialize_ms,fallback_overhead_ms,total_end_to_end_ms,structural_result,fallback_used,peak_rss_kb
flat200-100.cnf,C_lkk_cadical,1,11.0072,0.264049,0.65386,3.64884,0,0,36.8516,0,0,54.486,UNKNOWN,True,6604
flat200-100.cnf,D_lkk_kissat,1,2.56519,0.247925,0.610075,3.31521,0,0,32.2903,1.91199,14.2023,50.2532,UNKNOWN,True,5396
flat200-100.cnf,E_lkk_selector,1,3.46651,0.258373,0.625681,3.33951,0,0,33.1083,1.92613,15.0344,52.2421,UNKNOWN,True,5552
flat200-11.cnf,D_lkk_kissat,1,10.1697,0.261166,0.72285,3.3794,0,0,28.1203,2.18792,20.3082,55.239,UNKNOWN,True,5500
flat200-11.cnf,E_lkk_selector,1,3.48245,0.262028,0.643211,3.63657,0,0,30.7169,1.80932,12.5262,49.645,UNKNOWN,True,5588
flat200-11.cnf,C_lkk_cadical,1,2.95898,0.260723,0.616761,3.37191,0,0,7.75936,0,0,16.7788,UNKNOWN,True,6436
flat200-12.cnf,E_lkk_selector,1,9.41779,0.295515,0.608364,3.26809,0,0,64.0146,2.06481,16.0794,89.722,UNKNOWN,True,5440
flat200-12.cnf,C_lkk_cadical,1,3.85315,0.276707,0.642563,3.46763,0,0,24.6406,0,0,34.937,UNKNOWN,True,6468
flat200-12.cnf,D_lkk_kissat,1,2.94031,0.252835,0.617926,3.37603,0,0,67.891,1.6904,19.5814,87.3784,UNKNOWN,True,5476
flat200-13.cnf,C_lkk_cadical,1,2.45924,0.283578,0.619294,3.44086,0,0,4.80223,0,0,13.4475,UNKNOWN,True,6256
flat200-13.cnf,D_lkk_kissat,1,2.60263,0.249796,0.61877,3.23033,0,0,32.8481,2.0519,14.9,49.3162,UNKNOWN,True,5376
flat200-13.cnf,E_lkk_selector,1,3.10053,0.253057,0.633302,3.3778,0,0,32.236,1.91073,14.1467,49.9522,UNKNOWN,True,5496
flat200-15.cnf,C_lkk_cadical,1,3.10485,0.302112,0.818025,3.92727,0,0,36.5314,0,0,46.7115,UNKNOWN,True,6764
flat200-15.cnf,D_lkk_kissat,1,2.88331,0.264446,0.645245,3.35812,0,0,43.2179,2.07427,15.2922,60.9246,UNKNOWN,True,5564
flat200-15.cnf,E_lkk_selector,1,2.55421,0.249403,0.655161,3.1886,0,0,37.947,1.88453,19.8316,54.7473,UNKNOWN,True,5400
flat200-16.cnf,C_lkk_cadical,1,10.7424,0.277783,0.660017,3.52943,0,0,46.7061,0,0,63.845,UNKNOWN,True,6600
flat200-16.cnf,D_lkk_kissat,1,3.13207,0.266174,0.65298,3.41157,0,0,64.5776,2.20371,16.7814,82.1273,UNKNOWN,True,5560
flat200-16.cnf,E_lkk_selector,1,3.26465,0.261103,0.634889,3.43742,0,0,71.8911,2.06438,13.9555,93.672,UNKNOWN,True,5552
flat200-17.cnf,D_lkk_kissat,1,11.62,0.338993,0.771882,3.97017,0,0,39.6551,2.46911,22.1242,67.465,UNKNOWN,True,5480
flat200-17.cnf,E_lkk_selector,1,2.8865,0.25371,0.616625,3.32869,0,0,32.5241,1.87438,14.3985,50.9,UNKNOWN,True,5412
flat200-17.cnf,C_lkk_cadical,1,2.88503,0.275337,0.669147,3.52896,0,0,4.27626,0,0,13.1805,UNKNOWN,True,6672
flat200-18.cnf,E_lkk_selector,1,10.5124,0.293682,0.717546,3.8179,0,0,35.072,1.97043,17.0424,62.4035,UNKNOWN,True,5468
flat200-18.cnf,C_lkk_cadical,1,2.95193,0.253883,0.627914,3.55492,0,0,9.21253,0,0,18.5456,UNKNOWN,True,6468
flat200-18.cnf,D_lkk_kissat,1,4.26335,0.340309,0.853034,4.54239,0,0,43.5943,2.54582,16.1401,65.4659,UNKNOWN,True,5616
flat200-2.cnf,C_lkk_cadical,1,3.04562,0.293673,0.636717,3.39133,0,0,26.0368,0,0,34.9607,UNKNOWN,True,6716
flat200-2.cnf,D_lkk_kissat,1,2.95675,0.255845,0.673901,3.33948,0,0,63.8313,1.82811,15.6594,84.8763,UNKNOWN,True,5552
flat200-2.cnf,E_lkk_selector,1,3.17517,0.262605,0.636814,3.32594,0,0,77.0849,1.91715,19.0021,96.4351,UNKNOWN,True,5536
