instance,stratum,domain,selector_choice,selector_reason,lkk_cadical_par2_ms,lkk_kissat_par2_ms,selector_par2_ms,oracle_par2_ms,regret_ms,picked_faster,harmful,tie,selector_ms
par8-5-c.cnf,cardinality_exact_r_heavy,crafted_parity,cadical,"default_in_process_cadical(boxes=2,recovery=COMPLETE,registry=UNKNOWN)",20.206478,66.991424,17.933156,20.206478,-2.2733220000000003,False,False,False,
par8-5.cnf,no_useful_detected_structure,crafted_parity,cadical,"default_in_process_cadical(boxes=0,recovery=COMPLETE,registry=UNKNOWN)",18.088785,67.204344,34.478617,18.088785,16.389832,False,True,False,
pb_300_09_lb_07.cnf,no_useful_detected_structure,competition_main,kissat,large_formula(clauses=654778),34114.266725,19947.993703,19949.161232,19947.993703,1.167528999998467,False,True,False,
pcmax-scheduling-m11-1517-6802-UNSAT.sanitized.cnf,resource_allocation_like,competition_main,kissat,"open_cardinality_structure(boxes=21,registry=UNKNOWN)",120000.0,30687.971217,30534.377698,30687.971217,-153.5935189999982,False,False,False,
pcmax-scheduling-m13-1655-9604-UNSAT.sanitized.cnf,resource_allocation_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
pcmax-scheduling-m15-2352-13561-SAT.sanitized.cnf,resource_allocation_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
pcmax-scheduling-m19-10199-62102-UNSAT.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
pcmax-scheduling-m19-2974-16501-UNSAT.sanitized.cnf,resource_allocation_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
pcmax-scheduling-m24-17855-226744-SAT.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
pcmax-scheduling-m24-24102-255206-SAT.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
pcmax-scheduling-m30-14113-167638-UNSAT.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
